ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
GregorianCalendar.getGreatestMinimum(int)	Returns the highest minimum value for the given calendar field of this GregorianCalendar instance The highest minimum value is defined as the largest value returned by getActualMinimum int for any possible time value taking into consideration the current values of the getFirstDayOfWeek getMinimalDaysInFirstWeek getGregorianChange and getTimeZone methods
Vector.capacity()	Returns the current capacity of this vector
AtomicReference.compareAndSet(V,V)	Atomically sets the value to the given updated value if the current value the expected value
Filter.isLoggable(LogRecord)	Check if a given log record should be published
ConcurrentLinkedDeque.addFirst(E)	Inserts the specified element at the front of this deque
StreamHandler.close()	Close the current output stream
TimeZone.getDisplayName(Locale)	Returns a long standard time name of this TimeZone suitable for presentation to the user in the specified locale
ForkJoinTask.invokeAll(ForkJoinTask)	Forks the given tasks returning when isDone holds for each task or an unchecked exception is encountered in which case the exception is rethrown If more than one task encounters an exception then this method throws any one of these exceptions If any task encounters an exception others may be cancelled However the execution status of individual tasks is not guaranteed upon exceptional return The status of each task may be obtained using getException and related methods to check if they have been cancelled completed normally or exceptionally or left unprocessed
Enumeration.hasMoreElements()	Tests if this enumeration contains more elements
PriorityBlockingQueue.poll(long,TimeUnit)	Description copied from interface BlockingQueue
CopyOnWriteArraySet.equals(Object)	Compares the specified object with this set for equality
AbstractQueuedSynchronizer.getFirstQueuedThread()	Returns the first longest waiting thread in the queue or null if no threads are currently queued
Handler.flush()	Flush any buffered output
ArrayList.get(int)	Returns the element at the specified position in this list
EnumSet.range(E,E)	Creates an enum set initially containing all of the elements in the range defined by the two specified endpoints The returned set will contain the endpoints themselves which may be identical but must not be out of order
Set.retainAll(Collection)	Retains only the elements in this set that are contained in the specified collection optional operation In other words removes from this set all of its elements that are not contained in the specified collection If the specified collection is also a set this operation effectively modifies this set so that its value is the intersection of the two sets
Executors.newCachedThreadPool(ThreadFactory)	Creates a thread pool that creates new threads as needed but will reuse previously constructed threads when they are available and uses the provided ThreadFactory to create new threads when needed
Vector.add(E)	Appends the specified element to the end of this Vector
SynchronousQueue.isEmpty()	Always returns true
Logger.getHandlers()	Get the Handlers associated with this logger
ConcurrentLinkedDeque.addLast(E)	Inserts the specified element at the end of this deque
PropertyResourceBundle.PropertyResourceBundle(InputStream)	Creates a property resource bundle from an InputStream The property file read with this constructor must be encoded in ISO 8859 1
